Scam Record,Content
333,"My favourite was when I received a call from Windows Security. My computer was compromised and they needed to do a diagnostic check, I said ok and went to the computer and they start telling me what to type. I let them go on for a few seconds and tell them whoa I have to get into the computer, after wasting some more time they start giving instructions again. I once again stop them and say I can’t type anything, I get asked why can’t I type? I tell them I don’t know the password. This gets the scammer going on how can I not know my own password, so I try to explain it is not my computer I am a"
334,"My husband is awful to cold-callers and phone scammers.
One conversation was about a car accident he'd recently had (he hadn't of course), and kept them talking for ages as he went into detail about the accident, and how badly Jenny was injured. The surgery she had to go through, to how she ended up not making it. “God….I really miss that hamster” he wailed at the end!!
Other conversations he's had involve him telling the caller how the person they're looking for is dead…..because he killed them (and start going into detail), to saying they're unavailable, and start chatting up the caller (male"
335,"Actually the question should be :
What's the most fun you have with a telephone scammer?”
He had an Indian sounding voice and there was a lot of background chatter sounding like he was in a call center. So right away I became suspicious.
He said my Internet connection was ‘sending out’ some kind of viruses and he wanted to access my computer remotely to fix it..
He had some personal details correct. Like my ISP and what plan I was using. He was very convincing; however, I was smart enough to realize what was happening.
The first mistake he made was introducing himself."
336,"“Sir, you social is being suspended due to some illegal activity”
What illegal activity?
“Tell me what you have done, or the Police will be coming to take you”
I’m not stupid enough to incriminate myself. What am I being accused of?
“we need your social to investigate or you will be arrested”
arrested for what?
“we found a vehicle in your name at the mexican border. ”
Ok. So what?"
337,"I got a phone call that sister off “ this is your captain speaking and we are going to Costa Rica, enter the draw by taking the survey “ in an automated voice. I happened to have time on my hands so for fun I decided to answer the silly survey questions like how old was I, did I smoke etc….. When I finally got to a representative I was laughing at how ridiculous the recording was and the survey. I asked him how many people actually follow through and what exactly he was selling. And just to let him on the phone as if I was still interested I asked him if he liked his job, how much he was paid,"
338,"This happened a few years ago, and possibly falls slightly outside the ‘norm' of telephone scammers, as they were employed by a well-known international hotel booking company.
I was in a hotel, and I decided that, rather than booking through the service I'd previously used, I was going to take advantage of the special rate I was eligible for from the hotel. So I rang up the company I'd booked through to refund my booking, giving a fairly generic explanation to the call centre person as to why.
They told me that they needed to speak to the hotel, and left me on hold for a few minutes. The bloke c"
339,"Scammer: I'm calling about the accident you had.
Me: Is that the accident when I sustained severe head injuries resulting in amnesia because I can't remember any accident?
Scammer: You're just being sarcastic now.
Me: Am I?
Another -
Scammer: I'm calling about the car accident you had.
Me: Oh great! They told me I couldn't claim anything for that but I tell you that nail polish bottle is just lies. I mean, if the polish really dried in 30 seconds I'd never have hit that wall. Besides that it's a bloody stupid place to put a wall anyway. I mean, there's no way you can go round that bend and stay on y"
340,"I had a great deal of fun with this one.
Remember a few years ago when scammers were pretending to be from the IRS? I believe they were from a Middle Eastern country with spoof Washington, D.C., phone numbers.
It was about 8:00 on a Saturday morning and I was just sitting on my deck drinking a cup of coffee and it happened — my phone rang and the caller ID showed Washington, D.C. I must admit that I giggled a bit inside since I was about to have fun with a scammer.
Me: Hello
Gentleman with a very thick accent: “Is this Michael?”
Me: “Yes, who’s calling?”"
341,"Oh, there have been several. One of the many calls from “Microsoft Customer Service” went along these lines. S for Scammer and M for me.
S; This is Charles from Microsoft Customer Service. We have been observing that your computer is sending out malicious viruses. if you will log into our website, we can eliminate the viruses that are infecting your computer and even speed it up.
M; No shit? Viruses are infecting my computer? That’s terrible! Oh, my god what can I do?
S; just log into our site and we’ll take care of it for you. We can even make your computer faster.
M; No shit? You can make my com"
342,"I had a bunch of these.
There was a time where I’d challenge myself to keep scammers on the phone for the longest amount of time - my record was 49 minutes and one of the rules I set for myself is that I’m not allowed to be the one who ended the call.
I had a chalk board near the phone and put another “notch” on the board every time I got one to hang up, I still have the 100% success rate, although don't get many calls these days.
I’ve done the usual “dottering” old man thing with the Microsoft virus scamers for the most part, walking away from the phone for a couple of minutes at a time pretendi"
343,"Telephone scammer: Hi this is calling from Singapore police force, you have been suspected of illegal activities, for more information please press 1. (This is an automated voice message)
Me: *press 1* (knowing very well it is a scam)
TS: hello, how can I help you?
Me: uhh, how can u help me? I just received a call from police station and you tell me how can u help me?
TS: yes sir, we do not know how to help u if u don't at least provide us your name.
Me: hello, let me get this straight, ur side claimed that you're calling from the police force and you guys don't know who the fuck you're calling?"
344,"My last experience was not with a professional scammer - but with someone who tried to finalise a scam by means of a telephone converstion .
Towards the end of the 1990s the international chemical company where I worked eventually agreed (after a lot of market surveys / cost profit calculations etc) to us going ahead with the construction of a high - tech chemical factory in my country . I was appointed Project Manager . My first job was to identify a suitable site for this project , We had a stringent list of requirements for a potential site - one of the most important being that the site had"
345,One Sunday evening after Church my family and I were eating dinner when the phone started ringing. My Mom (Julie) is about 5’ tall and larger in the waist normally very timid. Julie answered the phone when she realized it was a telemarketer Julie put it on Speaker Phone. The person calling was from “bell”. He was selling high speed internet. Julie starts asking questions. (For example; How soon can or be installed? How much will it cost? Etc.) so “bell” says if you want it installed just give me your card number and I will charge you now. So Julie angrily and loudly: do you know what day it is
346,"I was told that the person who was calling was from Microsoft and they had detected a virus on my computer. I said, “Oh my, how did that happen?” The caller said that I must have gone to a porn site.
I asked what I could do about it. He directed me to open a file in the Microsoft folder. It was an exe. file. I knew it was a scam so I told him that I could not find the file.
I had not even looked for it. After a number of “tries” I told him I had found it. He told me to double-click on it and read him the message.
I kept telling him the file would not open. He told me to right click on the file an"
347,"I too had the Microsoft call.
Yes, i knew it was a scam, but I was bored and wanted a little fun.
It went along the following lines.
Hi, this is John from Microsoft and we have an alert that your computer has a dangerous virus on it.
Me: Wait what? Hold on (make panicking noises) - wait,wait,wait - OK phew, that should be OK now.
John: What did you just do?
Me: I switched off the computer.
John: No don't turn off computer."
348,"Me: Hello
Scammer: This is Windows. There is a problem with your computer.
Me: This is Microsoft Tech support. What can I do for you?
Scammer: (Confused) No, this is Windows. There is a problem with your computer we need to fix.
Me: You’re calling from the Windows department? Why are you calling tech support?
Scammer: You are tech support?
Me: That’s correct. What is the nature of your problem?
Scammer: This is Windows. You have a computer problem I can fix."
349,"My absolutely WORST job was a telemarketer for a window sales company.
That being said, I get a call one day and it goes like this:
Me: Hello?
Caller: Hello, we installed vinyl siding for you last year.
Me: Sorry, you have the wrong number. We put up vinyl siding ourselves.
Caller: Oh sorry, I see. Our records show we installed replacement windows.
Me: Sorry, try again. We install new windows when we put up the vinyl siding."
350,"I ask several women if their va jay tasted like cheese after they started the spiel. some just hung up one started yelling about wife and mother. One started just screaming at me. One said she will report me. A few days later an American women called me and started the spiel. I said i have a question will you rub one off? She said i beg your patron so I repeated it, she went bac to the spiel so i sated say so your not going to rub one off you know you want to. When she would start in I would say come on just slide your finger down there. finally i just hung up. the calls from that company stop"
351,"I don’t know if it was the oddest, but my favorite before my phone company started marking spam calls was repeated many times with great success.
It was a very short conversation each time, and the scammer hung up on me without saying a single word each time. Kind of a one sided conversation. You will see below why they did not speak, and why I used it repeatedly until my phone company made improvements.
The dialogue goes as follows:
*Ring Ring*
Me: “Good afternoon, you have reached the National Do Not Call Registry Enforcement Service. How may I direct your call?"
352,"Robot…… I’m phoning about the accident you’ve had… is that right???
Moi… Yep definitiely
Real person - was anyone injured
Me - sorry which accident - there have been a few
Them - oh I’m sorry to hear that
Me - was it the one where I broke my leg?
Them - So you broke your leg?
Me - well yes in that one, but was it the one where I broke my arm?
Them - You broke your arm too"
353,"Sometimes it is genuine cold callers, although I am registered with the Telephone Preference scheme in the UK which should prevent that.
If they are polite and reasonable, I will tell them, politely that I am not interested. If they start off with “Hi Paul”, I get very British, “I’m sorry, do I know you?” “Eh?”. “Well you called me by my first name. Am I a potential customer or some mate of yours?” The conversation usually goes downhill from there.
The other thing that really winds me up is the “And how are you today?” as if they are interested. Still they asked, so I tell them. My sleepless nig"
354,"At our prior home, we went through periods where “Microsoft"" would call frequently about problems with our “computer.” I got so tired of these calls. I finally decided that the next call would be different. I intended to have fun. I began drafting a script to follow.
Sure enough, the call comes. With an accent, “Joe"" says blahblahblah.
Me: (whispering into the phone) “You can’t fool me. I know it's you. I've told you to stop calling! My husband is getting suspicious.”
Him: “What are you talking about? I am calling from Microsoft about your computer!”
Me: “Oh, stop it. We've discussed this several"
355,"I’ve now had heart-to-heart talks with three of them. The last one was a couple of days ago - a guy named Tony who works for the social security administration.
So I took the call and he answered “Social security administration, how can I help you?”
I just said “Yeah, I have a quick question. Why is it that everybody who works for the social security administration is an Indian? Does your department hire anybody else?”
He laughed and said “Sure, they also hire Pakistanis”.
So we talked for about 10 minutes. I asked about how the scam works (the normal stuff you see with Kitboga or Scammer Revolt i"
356,"Like many of the other answers, I love messing with scammers. If it’s a legit sales call I am polite and thank them before hanging up, but with scammers all rules are off. I got a call from an IRS representative (thick accent) saying that I owed back taxes. Now I know full well we don’t owe any back taxes and that the real IRS does not just call you up and demand payment. He started out with the usual speel. You owe back taxes and if you don’t pay this right now the police will be on their way to arrest you. I started fake freaking out. I asked him what year I owed for and he said, ““All of th"
357,"Back before email, the internet and cell phones, I was awakened at 2 a.m. one weeknight by the phone ringing.
Who was on the line, but a bonafide Nigerian Prince, by God."
358,"My partner and I delight in these conversations, feeling that the longer we keep the scammer talking, the less time they will have to prey on other more vulnerable people. We tend to take a slightly different approach each time.
My partner took the last of these - a man calling from “Windows” - but we put the caller on loudspeaker so I could enjoy the sport. The conversation went absolutely normally for the first five minutes, my partner just pretending to go along with the stuff but asking for a lot of information and help so we could really slow the fella down. How do you spell ‘Windows’? … J"
359,"This was a few years ago, but it was pretty memorable.
This number had been calling me literally all day. Every 2 hours or so. It was a recording to press x and hold and finally I pressed x and waited.
Apparently the federal government is outsourcing calls to India. Not only that, I was apparently selected for a one time government grant from some bullshit organization for a few thousand dollars.
“oh that's amazing! So do you mail a check or do I pick it up?”
Oh no we no write checks. It's deposit only.
“oh no! I don't have a bank account though.”"
360,"This happened over a decade ago so the Microsoft scam was still very new and I was new to computers. When I got the call, I did not know it was a scam so followed along with what the original caller asked me to do.
When we got to the part where they confirmed that I did have a virus on my computer and I asked what to do, they said they would fix it. I said great. They then connected me with a “manager” to explain how they would fix my computer. After his explanation, I asked if it was free. He said no, it is $90.
I said nope I cannot afford that, never mind. He get more insistent, telling me my"
361,"Usually I just tell them a few times to delete my number, I am not going to fall for a scam and then the calls stop, but twice I have experienced ones who would not stop calling.
On the first occasion when they rang from the usual number (early 2000’s) they rang when we had friends round, between us we could speak enough to get by in 8 languages, the native Dutch speaker answered the call, guy kept asking for someone who spoke English, native German speaker up next… same, no need English… went through 4 more languages, persistent caller… up next basic French, at that point the caller started"
362,"I kept an insurance scammer on the line for my whole commute home. I have a couple of techniques, if I am busy I just curse them to hell otherwise I put the phone down an see how long they will stay on to my occasional yes, please repeat and sundry grunts
For entertainment you might like Letter from Africa: Why Nigeria's internet scammers are 'role models'
Somewhere out there is the story dating to around 2000 where the scam turner not only did not pay the Nigerian 419 guy the upfront money he wanted to reease millions but actually got the scammer to pay the him and to fly to London to meet him"
363,"Many years ago, I used to collect old/retired computers from businesses, clean them up and fix them up, and then donate them to people and organizations that needed them. (Someone’s grandma, a low income family, the Boys’ and Girls’ Club, stuff like that.)
I had just finished installing Windows XP on a handful of shiny “new” computers when I got a call from “Microsoft Support” letting me know that a problem had been detected on my computer and needed to be fixed. This was back when the Microsoft Support scam was new, so I had heard about it but didn’t know much else so I was pretty excited to g"
364,"I hate the dog scammers. I left my phone number for someone who was offering a Shetland Sheepdog pup for nothing because ‘his mother had died’. I knew the score.
Ring ring… You want to have the puppy.
Sure do.
We need to know he’s going to a first class home.
Yes, this is. We don’t leave our dogs alone for more than 4 or 5 days and hardly beat them at all.
Oh that sounds good then (WTF), where are you, we will send the dog to you?"
365,"I am not sure this first one was a scam call. I received a letter from an insurance company a couple of months after I moved from Melbourne, FL to Arlington, VA for employment at the US Patent and Trademark Office. I left the car that I owned when I moved with my mother and stepfather with the title signed by me (as the seller) so that they could sell it for me - they could only get $25 for it sin"
366,"So this employment scam is on the rise in India (I won't get into those reasons). Some days ago I got two back to back calls from this Consulting Agency which claimed to work for some 500+ global and Indian MNCs. This seemed very interesting, so I closed my laptop and continued on this call. And pressed the record button :)
A brief of what transpired over the next 8 minutes:
The guy on the other side wanted to assign me a Relationship Manager who would, post looking at my profile and experience, tell me about the roles and organisations which could be beneficial to my career. I responded with an"
367,Just like many others my family and I almost fell victims to several telephone scams and I remember during one of the incidents the guy on the other side of the line informed us that we have won a jackpot and he needed our bank account details to release the funds. I tried to assure him that we had never played the lottery so there was no way we would have won such a huge amount but he carried on with the conversation trying to convince me that the computer randomly selected our name and we need to submit our details as quickly as possible because they don’t want to hold on to our winnings. I
368,"I wrote something about this as a comment on another answer. My wife gets a call on her cell phone. She commented that this number has been calling her repeatedly. She doesn’t recognize it and they never leave a message.
I beg her to let me answer.
Me: Uhhhh. Hello. (In about the slowest dumbest voice you can imagine).
Scammer: Hello, my name is Steve (big thick Indian accent). I work with Microsoft. We are detecting a hacker breaking into your computer right now.
Me: Ummm. What’s a hacker?"
369,"It is sometimes a great way to break up the day, when a cold caller crops up.
I enjoyed a long and drawn out chat with a ‘We've been informed you had an accident that wasn't your fault” caller. Firstly, I was startled that they had been ‘informed’ as I told her that we'd made a pact to keep it secret. I also told her that I’d be contacting all those involved to find out who grassed.
Helpful lady tells me that I am eligible for compensation for my accident. I sound puzzled yet pretty chuffed.
As the call goes on, she asks me for details, though I remind her that she surely must have covered all of"
370,"Not me but my friend Steve.
Wife was watching TV and Steve was bored when the phone rang. It was a cold call from a company selling conservatories. Steve listened to the blurb and expressed interest. After about ten minutes he was transferred to a supervisor. Again the blurb listing all the advantages of adding a glass and brick conservatory to the side of your house. Another ten minutes and now Steve asked about the cost. He was transferred to the financial guy who explained all the easy payment plans. Steve listened and stated his preference for the completely financed option. The call had al"
371,"Once whilst at home , bored , recovering from surgery I took a call from one of these people. I can’t even remember what it was trying to sell me. Anyway I decided to be as ridiculous as I could to see how far he would tolerate my crap !
it ended up with him telling me he was going to send some forms for me to fill out. I told him that’s where the problem lay as both my arms were in plaster from my surgery and I couldn’t possibly sign any forms. ( it was abdominal surgery btw) I then said could my neighbor possibly sign the forms and then retracted that as I told him my neighbor was a crazed py"
372,"I just read another answer that reminded me of one I did about ten years ago. I got a cold-caller trying to sell me windows. He wouldn’t let me get a word in for the first couple of minutes. If he had, I would have pointed out that I had only just moved into a brand new house and had neither the cash to spare nor any need for windows.
So, when he finally let me speak, I answered his questions as best I could. I thought that he might twig when I told him that my wing of the building had at least thirty windows. I think he was just seeing dollar signs. At the point that the questions were getting"
373,"The call went something like this:-
“Sir, I am calling from British Telecom to tell you about a virus on your computer”
No genuine UK call agent would start a sentence with “Sir”. They also wouldn’t say “British Telecom”, they’d just say “BT”
I responded with “But I live in the city of Kingston-upon-Hull, BT has no network presence in this area, my phone and internet service is provided by a company called KCOM”
“Sir, you live in the UK, of course we at British Telecom provide your internet service”
Me: “I suggest you google KCOM and remove any Kingston-upon-Hull phone numbers from your database as"
374,"This is an very old trick. The hard to believe story happened in mid 1990’s… The Turkish public is no stranger to phone scammers posing as important figures of authority. Legendary con artist Selçuk Parsadan defrauded then-Prime Minister Tansu Çiller by posing as a general on the phone in the 1990s. I felt like been deceived as well at the time. Not by the scammer but by the one who was holding the seat of the government in the name of Turkish people.
A known scammer or swindler Selçuk Parsadan called former Turkish Prime Minister Prof. Tansu Çiller and imitated the voice of a military general."
375,"I forget the details of the call except what the woman said to me after I challenged her:
A pleasant, intelligent sounding young woman rang me and began to speak, introducing a well known scam. I let her speak, and when she paused for me to reply I told her that I didn’t believe her, that she was a scammer and a thief. She said nothing. I said “You’re trying to scam me, aren’t you? Aren’t you? Why don’t you get a real job instead of trying to steal from people?”
There was a long silence, then, in a different voice, speaking low so as not to be overheard, and bitter, she said “Will you give me a"
376,I answered the phone and it was some clown claiming he was from social security telling me my benefits will stop unless I can provide proof to him that I am who he called. I said that since he called me he should know that just last week a call from them told me my benefits will triple in 2022 if not sooner. Puzzled by the BS I was pedaling he stammered and mumbled that if I was lucky I might see an increase but not likely. He still insisted on proof of who I was. I handed my 6 year old son the phone and warned him to not say yes to him but reel off his “might want for xmas list” and keep on a
377,"The scammer started with “Hi, this is Fake Name calling from the police, has anyone contacted you about this matter?”
I know how those calls normally progress, the scammer claims there is a warrant for my arrest, but if I pay with Amazon gift cards the warrant will go away. I decided to derail his script right from the beginning.
“Yes, the CIA did, and I had to dodge their agents. It got messy.”
Scammer: “The… CIA?”
From there I started spinning a fantastical tale involving every spy agency I could think of, spanning the globe with escapades great and small. In the end I claimed to have fired a cr"
378,"Hello this is Bawb with vindows. Vindows has asked us for to help you with your computer as it has a virus.
Me: Oh No! My name is Sateesh Srinivas Fitch-Smythe Ramaladingdong, we need to fix this right away.
Bawb: you need to click the Vindows key on your computer and click R.
Me: Do I need to turn on my computer?
Bawb: yes
Me: okay
Bawb: is it on yet? What does it say?
Me: it is still starting up."
379,"This did not happen to me, but to a former colleague some years ago.
Part of the story is that he may sound much older than he is, which may
have lured the scammer into believing he dealt with a pensioner.
He got a call on his cellphone from someone claiming calling from Microsoft, and whose knowledge of English was somewhat lacking, that his desktop computer had developed a serious configuration fault that needed to be corrected immediately.
He was somewhat bored, and decided to play along.
The scammer directed him to various shady-looking web-sites and instructed him to download software package"
380,"My email has found it’s way into (at least) one mass marking database. I get many message a day (most do make it to the spam folder). At least several a day are informing me that I have won a lottery, inherited a fortune, need me to hide a consignment box of money, etc. All I need to do is send them some processing fee by telegram (that was the old days, now it is usually an Itunes gift card) to claim my money. I have a standard reply that I cut and paste in response (below):
Thank you for your kind message and for thinking of me. Please send my money directly to the people in Nigeria or the Be"
381,"My variant of this is:
Scammer: Hello Sir.
Me: Hello?
Scammer: Sir there's a problem with your computer that needs to be fixed.
Me: My computer?
Scammer: Yes sir, your computer.
Me: Which computer?
Scammer: Your Windows computer."
382,"Used to always seem to get these while we sat down for dinner. I had one call, asking for the “lady of the house"". I said, “Sorry. sir, there is no lady of the house"" that I was in a committed gay relationship. This was before gay marriage was legal in the US. He hemmed and hawed and tried to break it up. I told him my partner was a “stay at home” partner who fulfilled the traditional “wifely"" role - cooking. cleaning, and shopping while I worked outside the home. He explained he was trying to sell some kind of dishware and I explained my partner was out running errands but I am sure he would"
383,"I used to get calls from companies trying to sell me vacations. They used an automated dialer, and I’d push the appropriate number to get to a representative.
I’d lead them on, answering their questions. This would take a few minutes. Eventually, they’d get to the part where they ask, “So, what do you like to do during your vacations?”
I’d answer: “Oh, not much. Just the usual; drugs and hookers.” The responses were always worth it.
Once I answered: “Oh, you see, I’m into dog fighting:)!” The guy started screaming at me with expletives and hung up.
Another one: “I like to mix business and pleasure"
384,"Several years ago I was contacted by a Nigerian by email who did the usual stuff about having money that he wanted in safe keeping and I would get a cut, but, of course, they wanted me to send a few thou by Western Union. I told them I didn't trust WU and I needed a holiday so I'd bring it to South Africa and was there somewhere I could meet him to hand the money over. He agreed that was possible. I found that I could go through most of the booking procedure with an airline and then print out what looked like a ticket before cancelling the whole process. I sent the guy a copy of the ‘ticket’ a"
385,"I was having a real hard time of it about five years ago and stupidly used one of those payday loan companies. I paid it off completely as soon as I could and that was the end of it. Never again.
But those guys sell your name and phone number like crazy. I still get calls and emails about defaulting on loans I never took out.
The best came last year, in the middle of the pandemic. I got a voicemail from a “process server” who said he’d be coming to my house to serve me papers on a court case that had been filed against me. I knew it was a scam, but he left a phone number I could call that would"
386,"I got a call at work from a guy saying I had missed jury duty and there was a warrant out for my arrest. He said I needed to come to the office and pay a fine. He gave me detailed instructions on where to go and how to get a money order. I had taken a Lyft to work that day so I needed a ride. Mind you, he sounded very convincing at first and stated he was a police officer from a specific office. I could hear in the background what sounded like radio calls. Anyway, by the time I found a ride I had forgotten part of the directions so I looked up the police office he had stated and called them. T"
387,"1) One conversation went something like this.
MAN WITH HEAVY FOREIGN ACCENT, IN BROKEN ENGLISH: “This be Internal Revenue Service be calling from Washington. You make bad mistake with your tax Federal. Police be coming to arrest now you! Please to give me Social Security Number to your tax return so I can quickwise fix problem. Otherwise big legal difficulty for you. What your Social Security Numbe"
388,"I love scammers!
Typically I have a scammer with an Indian accent.
I use an old man voice and allow them to walk me through the scam - typically I am dealing with a Microsoft tech support scammer.
Whilst I have them on the phone, I bring up Google translate - English to Hindi and I type in a horrible story of how their father was a mangy old donkey who found their prostitute mother one night, lying in the gutters and how he rabidly fucked her brains out and like magic they were born 9 months later and how proud they are of their offspring being such a lowly but successful scumbag who has at least"
389,"About an hour and a half ago, the phone rang. Since lockdown started, I’ve gotten a lot more tolerant about telemarketer calls, so I answered cheerfully. It took a second for the call to be routed to an actual person. Once it was, all I heard was something crunchy being chewed.
Me: “I said hello already. So what are you eating? It sounds tasty.”
Him, laughing: “Oh, right, sorry. My name is Scott and I’m calling from (mumbled crunching) Construction Company.”
Me: “Oh, I’m not interested in any of that, but I skipped lunch, so I’m starving right now. I’d be happy to discuss your snack, whatever it"
390,"This happened about 1972 or so, so the dollars I mention, although not so large today, before close to fifty years of inflation, were sizable.
I got a call. “Hello, I am calling from [some place selling vacation lots.] I would like to invite you and your wife to a dinner and presentation.”
Me: “OK. How long will it take?”
Him: “About two hours.”
Me: “Well, we generally charge $25 and hour for our time"
391,"The phone rang as I was playing a 5v5 match of DotA 2. My brother, who’s much better at it than me, was one of my team mates.
Scammer: Hello?
Me: Hi! Who’s this?
Scammer: It’s your cousin!
[Brother: Hey, I think they’re trying to ambush us!]
Me: Cousin? Which cousin?
Scammer: Come on! Can’t you recognize your cousin?
[Are you coming or not??]"
392,"Does creative obscenity count?
There is a group of phishers that (according to a report on NOS) works out of a call centre in Mumbai, India. They call you up to tell you that your computer is about to crash, and you should give them the passwords to prevent it, et cetera.
I’ve had the following conversations with them. In compliance with BNBR, the profanities are edited for a PG rating.
Exhibit A:
Them: Hello, this is the call center…"
393,"Doesn’t really qualify as odd but I did waste ten minutes of some prick’s time letting him try to direct me to the Start button on a Mac. Another time someone rang asking for the previous homeowner, who I knew had died. I said I’d get him for him and asked him to hang on because he was in his shed, the garden was very long, and he was very old and couldn’t move quickly. Then I came back every few minutes to encourage captain scamfuck to be patient, make a plausible excuse about the dear old boy going to the loo or taking his prescription or something to justify more delay, and assuring him he’"
394,"It was odd-but fun! I got a couple of weeks ago, in the wee hours of the morning, around 0800 (I work nights so yeah). I ghosted it and listened to the voice mail later on. Apparently there was some sort of criminal activity with my social security number and I had a warrant out for my arrest! I called back and started in with “OMG! What do I need to do?!?!” The lady asked a quick question and I answered it-she told me to quit wasting her time and hung up so I called back in a bigger panic. I got the same lady and we did the same dance. The third time I called back I told her I was a police of"
395,"I don’t know if this is really the oddest, but it was somewhat fun.
After I verified that I was dealing with a scammer, I said, “Well, this sounds interesting. But I’m pretty busy right now. If you want, though, I can make time for this.”
The scammer was pretty excited about this, and agreed that that would be a great idea.
Then I told him that I’d just need his credit card number. He was confused about why I’d want it, and I told him that I’m a busy guy. Lots to do. I can’t stop work to do this instead without charging him.
He hemmed and hawed a bit, and finally told me that I can’t do that. I to"
396,"First, before I retired, I handled suspected welfare fraud for the Pierce Co Prosecutor’s Office in WA. I know most procedure.
I got a phone call on my house phone from a male who I could barely understand but with no accent, saying “Grandma? I was in an accident and can barely talk because my mouth is bleeding. They arrested me for going through a stop sign” Yeah NO, not likely, unless he assaulted the cop. Then he says he needs to go to the hospital but the police won’t give him any medical attention until he pays $5,000 bail to the public defender. Here is the public defender’s phone number."
397,"The 1.5 billion dollars near fraud.
It was a holly Sunday morning. I wasn't planning on going to church anyway because I had a lot of work to present on the following day which was going to be a monday."
398,"Hello, this is telstra, we are calling you today about your internet service being disconnected.
Me, oh i just spoke to telstra i am already on a payment plan.
Also me, how do i know your from telstra
Them, here is my employee id it is k mnlp yea we are not telstras xry
Me ok so whats happening, how can i help,
Them, your service is about to be disconnected because your emails are sending out viruses to computers
Also me, ok then, could you please tell me who you think your speaking to"
399,"This is one of two which demonstrate how I like to play with these clowns. Another which I’m trying to find was from the Sears “help lime”lol
Your chat transcript:
PLEASE DO NOT REPLY TO THIS MESSAGE - All replies are automatically deleted.
DirecTV : Hello! How may I help you today?
Gabriel : Hello! Thank you for contacting AT&T Direct TV. I am glad to see you're using our DIRECTV online resource and I will be more than happy to help you today. My name is Gabriel.
r : You need to correct your DELIBERATE ovecharging my account"
400,"I once got a phone call from a man claiming he had sent me ONE BILLION DOLLARS in the mail, and that he needed $100 to secure the shipment. If you guys didn't know, a billion dollars is physically a huge amount of money. A package that large would not be sent through the mail via traditional means.
So I said, “This is obviously a scam, do NOT call me back, goodbye.” Then I hung up on him.
Less than a second later, guess what this man does.
Just guess.
He called me back right away and started questioning me as to why I thought it was a scam. 🤦"
401,"I received a phone call from the local police department seeking donations for widows and children of slain officers. Very touching. I had received this same call the year before and when I called the police to confirm they were seeking donations, they told me it was a scam and that they NEVER solicit over the phone.
I told him I wanted to donate, but was scared to give my card number over the phon"
402,"Several years ago, I got one of those calls you hear about where a young man pretends to be your grandchild. He claims to be in the hospital after having a car accident in another state and needs money to pay for ER care, or he’s been arrested in another state and needs bail money. They’re always far away and try to convince you that only you can help them. It’s really sad how many elderly people have been fleeced thinking they’re helping a beloved grandchild. I was probably about 68 at the time so I decided to have some fun with my “grandchild”. (Note: I have NO grandchildren!). Here’s how it"
403,"This conversation wasnt odd but definitely concerning.
Summer of 2019, my brother, our mom and I had gone on a week long trip to see our family in New Jersey, since we live in California. We’re staying at my Aunt’s house for the week. The morning after we get there, my brother goes to work with my Uncle and my mom and I were just hanging out with my cousins.
My 86-year-old grandfather comes rushing into the house. He tells us he got a call from a law firm, Lewis and Clark. (The guys that went on that expedition in the west) They told him my brother, his only grandson, was in jail for a car accid"
404,"A man telephoned me, allegedly from the Social Security Administration, and he needed some information from me. He asked for my name, and my social security number. I told him “you already know those things.” He told me that I needed to verify those things, to him. I replied, “no I don't, you phoned me.” He said this is about your retirement. I told him “no it isn't because Social Security mails letters and doesn't make phone calls of this kind.” He said Oh yes They do! I asked him “why did you say they?” He said because they do! So I said “ Well tell THEM to mail a fucking letter to me!” Then"
405,"I once had a scammer ring me to tell me that they were from Microsoft and I had a problem with my computer that needed fixing. I happened to be sat at my computer when I took the call. The chap who called me was nice and polite and insisted with a thick Indian accent that his name was Philip. Now I know India is a wonderful and diverse country with many religions including Christianity but I suspected he wasn’t called Philip. Anyway Philip wanted me to go to my settings. I lied that I wasn’t very technical and could he talk me through it, of course I can! I could hear the glee in his voice as"
406,"Not me but my former boss while working at Microsoft of all places!
Scammer: This is Windows and there’s a problem with your computer.
Boss: oh, I work for MS in Redmond. What group are you working with?
Scammer: Windows!
Boss: Ok, give me your Alias (internal MS Mail handler)
Scammer: click
And this one is mine:
Scammer: Hello, we have a magazine promotion going on, you buy one subscription and get two for free."
407,"It was actually the first time someone tried to scam me just a few days ago. I got a call from a number I didn't recognize but I answered anyway. The male voice greeted me, mentioned my full name and said I'd won money and some other prizes from my network providers for being an active member. He was speaking in our local language and I told him to speak English with me instead but he gave the lamest excuse that the call was being recorded and I had to speak the language the agent speaks with me. I'm no fool. First off, before the real agent begins a conversation with a client, they ask you wh"
408,"I got the same call about the problem with my computer, so i engage the guy for a bit to the point where he asks my name. The guy is obviously from India or Pakistan, when he asks my name, in my best caucasian voice i say, “my name is Ben, Ben Chood, now anyone who speaks the language knows that Behenchood, pronounced “Ben Chode” means that you fornicate your sister, the guy says, excuse me? what is your name? I say I’ m Ben and my wife is Mader? You know, the Choods? By the way, Mader chood is the same thing except with your mother.thats when i get the click sound i worked with some guys that"
